INFO 2025-03-03 21:25:27,027 autoreload Watching for file changes with StatReloader
INFO 2025-03-03 21:25:29,999 basehttp "GET /decrees/ HTTP/1.1" 200 57480
INFO 2025-03-03 21:25:30,562 basehttp "GET /publications/ HTTP/1.1" 200 41303
INFO 2025-03-03 21:32:14,331 autoreload /app/documents/templatetags/custom_filters.py changed, reloading.
INFO 2025-03-03 21:32:16,142 autoreload Watching for file changes with StatReloader
INFO 2025-03-03 21:32:19,082 basehttp "GET /publications/ HTTP/1.1" 200 41303
INFO 2025-03-03 21:32:19,178 basehttp "GET /publications/ HTTP/1.1" 200 41303
INFO 2025-03-03 21:32:19,276 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:32:19,277 basehttp "GET /media/publication/926691d2e2db4aeaaf3eae69e5838bc3.png HTTP/1.1" 200 4504
INFO 2025-03-03 21:32:19,312 basehttp "GET /media/publication/6e0ca09f62924658bfe4e2b4722ad4c1.png HTTP/1.1" 200 7080
INFO 2025-03-03 21:32:19,350 basehttp "GET /media/publication/ce4beedc40f64e3fa399b3a713000330.jpg HTTP/1.1" 200 35017
INFO 2025-03-03 21:32:19,394 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:32:19,395 basehttp "GET /static/flatpickr/flatpickr.min.css HTTP/1.1" 200 16166
INFO 2025-03-03 21:32:19,403 basehttp "GET /media/publication/bd5b0ca42641444c83b67c43650affca.jpg HTTP/1.1" 200 58166
INFO 2025-03-03 21:32:19,408 basehttp "GET /static/flatpickr/locale/ar.js HTTP/1.1" 200 1928
INFO 2025-03-03 21:32:19,459 basehttp "GET /static/flatpickr/flatpickr.min.js HTTP/1.1" 200 50679
INFO 2025-03-03 21:32:19,516 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:32:19,517 basehttp "GET /publications/ HTTP/1.1" 200 41303
INFO 2025-03-03 21:32:19,525 basehttp "GET /static/bootstrap5/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2025-03-03 21:32:19,554 basehttp "GET /publications/ HTTP/1.1" 200 41303
INFO 2025-03-03 21:32:19,597 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:32:19,610 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:32:19,611 basehttp "GET /media/publication/6e0ca09f62924658bfe4e2b4722ad4c1.png HTTP/1.1" 200 7080
INFO 2025-03-03 21:32:19,612 basehttp "GET /media/publication/926691d2e2db4aeaaf3eae69e5838bc3.png HTTP/1.1" 200 4504
INFO 2025-03-03 21:32:19,613 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:32:19,620 basehttp "GET /media/publication/bd5b0ca42641444c83b67c43650affca.jpg HTTP/1.1" 200 58166
INFO 2025-03-03 21:32:19,626 basehttp "GET /media/publication/ce4beedc40f64e3fa399b3a713000330.jpg HTTP/1.1" 200 35017
INFO 2025-03-03 21:32:19,628 basehttp "GET /static/bootstrap5/bootstrap.bundle.js HTTP/1.1" 200 207819
INFO 2025-03-03 21:32:19,637 basehttp "GET /static/flatpickr/flatpickr.min.css HTTP/1.1" 200 16166
INFO 2025-03-03 21:32:19,639 basehttp "GET /static/flatpickr/flatpickr.min.js HTTP/1.1" 200 50679
INFO 2025-03-03 21:32:19,642 basehttp "GET /static/flatpickr/locale/ar.js HTTP/1.1" 200 1928
INFO 2025-03-03 21:32:19,667 basehttp "GET /static/fonts/Shabwa.ttf HTTP/1.1" 200 51148
INFO 2025-03-03 21:32:19,668 basehttp "GET /static/fonts/Shabwa-Bold.ttf HTTP/1.1" 200 49452
INFO 2025-03-03 21:32:19,670 basehttp "GET /static/fonts/Shabwa-Medium.ttf HTTP/1.1" 200 51776
INFO 2025-03-03 21:32:19,671 basehttp "GET /static/bootstrap5/bootstrap-icons.woff2 HTTP/1.1" 200 130396
WARNING 2025-03-03 21:32:19,790 log Not Found: /favicon.ico
